# xb = th_nq
# yb = pm
# current header line:
#
i_b,i_x,i_y,xb,yb,Ei,kf,th_e,omega,Q2_calc,q_lab,Ep_calc,pf,pm_mc,pm,En_calc,beta_cm,gamma_cm,PfPar_q,PfPerp_q,theta_pq,theta_pq_calc,PfPar_cm,th_pq_cm,th_nq_mc,th_nq_calc,cos_phi,sin_phi,alpha_c,nx,ny,cont,kin,crs0,crs12,ratio,
232,1,11,5.0,0.4,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
253,1,12,5.0,0.44,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
274,1,13,5.0,0.48,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
295,1,14,5.0,0.52,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
316,1,15,5.0,0.56,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
337,1,16,5.0,0.6,14000.0,11365.778,12.8,2634.222,7908391.991,3853.248,3388.397,3255.9,605.399,612.235,1121.435,0.854,1.925,3253.563,123.328,1.576,2.171,689.919,10.135,8.523,11.621,-0.962,0.029,0.555,19,40,0.000545,thrq26,0.00511013204,0.00384607515,0.752637148,
358,1,17,5.0,0.64,14000.0,11369.133,12.904,2630.867,8039677.887,3867.963,3364.291,3230.805,645.433,649.465,1142.186,0.858,1.949,3228.758,114.984,1.648,2.04,664.837,9.812,8.283,10.198,-0.884,-0.158,0.535,19,40,0.001582,thrq26,0.00367626781,0.00270618149,0.736121953,
379,1,18,5.0,0.68,14000.002,11350.493,13.026,2649.508,8178226.728,3898.477,3360.518,3226.875,680.437,688.121,1164.601,0.862,1.97,3223.994,136.324,1.74,2.421,647.681,11.886,8.285,11.427,-0.904,0.143,0.522,19,40,0.003561,thrq26,0.0026534393,0.00188973302,0.712182522,
400,1,19,5.0,0.72,14000.0,11319.292,13.185,2680.708,8354664.144,3942.19,3366.648,3233.259,719.342,729.747,1189.67,0.865,1.994,3229.46,156.678,1.938,2.778,631.408,13.936,8.751,12.398,-0.919,-0.021,0.508,19,40,0.003536,thrq26,0.00181769265,0.00125956081,0.692944884,
421,1,20,5.0,0.76,14000.001,11296.071,13.351,2703.93,8547604.962,3982.316,3366.628,3233.238,759.988,767.054,1212.912,0.87,2.025,3229.816,148.712,2.034,2.636,612.088,13.656,8.688,11.179,-0.921,0.012,0.49,19,40,0.002662,thrq26,0.00125206145,0.000787448545,0.628921628,
442,1,21,5.0,0.8,14000.008,11261.078,13.532,2738.93,8752580.237,4031.664,3375.114,3242.073,800.502,808.327,1239.426,0.874,2.056,3238.36,155.117,2.067,2.742,595.218,14.607,8.402,11.064,-0.927,-0.033,0.475,19,40,0.002338,thrq26,0.000829118304,0.000494008535,0.595823944,
463,1,22,5.0,0.84,14000.003,11230.496,13.678,2769.506,8918488.205,4072.917,3379.87,3247.024,838.492,847.387,1265.247,0.877,2.08,3242.609,169.273,2.268,2.988,580.423,16.259,8.819,11.523,-0.923,-0.017,0.463,19,40,0.001808,thrq26,0.000564635964,0.000314525852,0.557041824,
484,1,23,5.0,0.88,14000.006,11203.623,13.836,2796.383,9102416.994,4113.657,3379.638,3246.783,879.11,887.354,1292.355,0.88,2.109,3242.416,168.333,2.273,2.972,562.522,16.66,8.427,10.935,-0.926,-0.0,0.448,19,40,0.001393,thrq26,0.000374315161,0.000252585247,0.674793005,
505,1,24,5.0,0.92,14000.002,11175.722,13.986,2824.28,9276404.487,4153.668,3383.214,3250.505,917.103,922.415,1316.676,0.884,2.137,3246.274,165.791,2.468,2.924,547.673,16.842,8.781,10.354,-0.916,0.043,0.436,19,40,0.0007662,thrq26,0.000256487489,0.000170714047,0.665584326,
526,1,25,5.0,0.96,13999.993,11151.831,14.119,2848.163,9432840.788,4188.66,3378.706,3245.813,957.835,962.507,1345.067,0.887,2.163,3241.341,170.315,2.608,3.008,530.766,17.791,8.872,10.192,-0.92,-0.054,0.423,19,40,0.0006166,thrq26,0.00016876265,0.000110514949,0.654854298,
547,1,26,5.0,1.0,14000.003,11119.555,14.271,2880.448,9607626.661,4231.384,3380.52,3247.701,998.696,1004.649,1375.538,0.89,2.19,3242.775,178.81,2.65,3.156,515.1,19.144,8.65,10.252,-0.93,-0.024,0.412,19,40,0.0004304,thrq26,0.000106391446,6.83498365e-05,0.642437339,
568,1,27,5.0,1.04,14000.0,11083.291,14.428,2916.709,9787006.922,4277.172,3386.78,3254.216,1039.451,1045.349,1405.539,0.893,2.217,3248.802,187.646,2.82,3.306,501.249,20.524,8.863,10.341,-0.925,0.002,0.401,19,40,0.0002547,thrq26,6.64458494e-05,4.19601965e-05,0.631494641,
589,1,28,5.0,1.08,13999.997,11064.381,14.538,2935.616,9919294.565,4305.478,3378.466,3245.563,1076.967,1081.674,1432.761,0.895,2.241,3240.151,187.345,2.9,3.309,485.822,21.088,8.774,9.974,-0.91,-0.039,0.391,19,40,0.0001248,thrq26,4.35254115e-05,2.77826148e-05,0.638307929,
610,1,29,5.0,1.12,14000.001,11025.801,14.709,2974.2,10117649.977,4354.712,3387.528,3254.995,1117.741,1120.484,1462.282,0.898,2.272,3249.701,185.568,3.027,3.268,472.526,21.441,8.851,9.533,-0.927,-0.023,0.38,19,40,8.959e-05,thrq26,2.65061317e-05,1.72803339e-05,0.651937246,
631,1,30,5.0,1.16,14000.0,10996.511,14.827,3003.489,10252456.884,4390.148,3383.087,3250.373,1159.189,1164.159,1496.011,0.9,2.292,3243.975,203.844,3.19,3.596,458.18,23.984,8.979,10.084,-0.939,0.097,0.372,19,40,4.151e-05,thrq26,1.52323055e-05,1.00990446e-05,0.663001716,
652,1,31,5.0,1.2,13999.997,10980.644,14.892,3019.353,10326600.808,4409.432,3371.124,3237.919,1192.323,1199.709,1523.839,0.901,2.303,3230.338,221.445,3.355,3.922,445.853,26.413,9.142,10.637,-0.946,-0.011,0.367,19,40,1.35e-05,thrq26,9.55047653e-06,6.62687171e-06,0.693878651,
673,1,32,5.0,1.24,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
694,1,33,5.0,1.28,14000.0,10921.243,14.991,3078.757,10407048.979,4459.349,3330.82,3195.936,1289.358,1324.055,1623.547,0.9,2.295,3178.343,334.879,3.907,6.015,413.856,38.979,9.722,14.65,-0.997,-0.074,0.365,19,40,2.843e-07,thrq26,1.35681523e-06,3.25790484e-06,2.40114117,
715,1,34,5.0,1.32,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
736,1,35,5.0,1.36,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
757,1,36,5.0,1.4,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
778,1,37,5.0,1.44,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
799,1,38,5.0,1.48,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
820,1,39,5.0,1.52,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
841,1,40,5.0,1.56,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
23,2,1,15.0,0.0,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
44,2,2,15.0,0.04,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
65,2,3,15.0,0.08,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
86,2,4,15.0,0.12,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
107,2,5,15.0,0.16,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
128,2,6,15.0,0.2,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
149,2,7,15.0,0.24,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
170,2,8,15.0,0.28,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
191,2,9,15.0,0.32,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
212,2,10,15.0,0.36,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
233,2,11,15.0,0.4,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
254,2,12,15.0,0.44,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
275,2,13,15.0,0.48,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
296,2,14,15.0,0.52,14000.0,11283.523,12.693,2716.477,7721199.498,3885.93,3506.785,3378.932,534.905,543.229,1085.303,0.846,1.877,3374.036,181.832,2.696,3.085,762.937,13.405,17.284,19.556,-0.952,-0.304,0.61,19,40,0.0006039,thrq26,0.00886273291,0.00706141395,0.796753526,
317,2,15,15.0,0.56,14000.001,11276.713,12.806,2723.288,7853629.684,3907.675,3497.245,3369.03,567.08,575.2,1101.653,0.85,1.897,3363.821,187.289,2.768,3.187,743.867,14.132,16.695,19.002,-0.959,-0.015,0.594,19,40,0.006395,thrq26,0.00672782166,0.00514426688,0.764625907,
338,2,16,15.0,0.6,14000.002,11273.911,12.905,2726.091,7973711.843,3924.957,3480.556,3351.703,604.749,611.706,1121.146,0.853,1.916,3345.899,197.168,3.01,3.372,722.598,15.262,16.956,18.804,-0.94,-0.032,0.577,19,40,0.02234,thrq26,0.0049692695,0.00374523317,0.753678799,
359,2,17,15.0,0.64,14000.003,11275.375,12.995,2724.627,8084843.551,3938.075,3458.013,3328.288,642.06,649.533,1142.225,0.856,1.935,3321.933,205.575,3.136,3.541,699.719,16.373,16.512,18.451,-0.913,-0.043,0.56,19,40,0.05212,thrq26,0.00363484863,0.0026417987,0.726797462,
380,2,18,15.0,0.68,13999.991,11266.396,13.104,2733.596,8214664.256,3960.708,3444.213,3313.948,680.75,688.784,1164.993,0.859,1.955,3306.863,216.586,3.313,3.747,678.906,17.694,16.374,18.327,-0.899,-0.023,0.544,19,40,0.07364,thrq26,0.0025918691,0.00180866732,0.697823584,
401,2,19,15.0,0.72,13999.999,11249.604,13.225,2750.395,8353388.6,3989.744,3437.541,3307.013,719.466,727.779,1188.464,0.862,1.976,3299.05,229.354,3.535,3.977,660.525,19.149,16.491,18.369,-0.889,-0.015,0.53,19,40,0.07324,thrq26,0.00182731007,0.00122390373,0.669784367,
422,2,20,15.0,0.76,13999.987,11223.292,13.372,2776.694,8519288.193,4028.563,3438.847,3308.371,759.292,767.915,1213.457,0.866,1.999,3299.556,241.336,3.727,4.183,643.305,20.564,16.478,18.317,-0.881,0.022,0.516,19,40,0.06764,thrq26,0.00124729751,0.000799352303,0.640867412,
443,2,21,15.0,0.8,14000.013,11199.029,13.512,2800.984,8679512.618,4065.099,3438.174,3307.671,799.205,806.784,1238.42,0.869,2.023,3298.175,250.457,3.935,4.343,626.162,21.801,16.526,18.086,-0.879,-0.012,0.502,19,40,0.05694,thrq26,0.000856023224,0.000527312281,0.616002321,
464,2,22,15.0,0.84,14000.002,11168.438,13.662,2831.564,8847867.213,4106.778,3442.566,3312.236,838.989,846.433,1264.608,0.872,2.046,3301.868,261.86,4.138,4.534,610.595,23.213,16.567,18.021,-0.873,0.009,0.489,19,40,0.04262,thrq26,0.000574742851,0.000300375628,0.522626102,
485,2,23,15.0,0.88,14000.021,11136.548,13.814,2863.473,9018771.407,4149.488,3447.206,3317.058,879.175,886.658,1291.877,0.876,2.07,3305.825,272.755,4.315,4.717,595.147,24.622,16.514,17.916,-0.877,-0.007,0.477,19,40,0.03131,thrq26,0.000380444544,0.000185681041,0.488063365,
506,2,24,15.0,0.92,14000.004,11100.027,13.973,2899.977,9197307.374,4196.09,3456.64,3326.861,918.894,925.654,1318.947,0.879,2.094,3314.793,283.111,4.515,4.882,581.415,25.963,16.581,17.809,-0.875,0.017,0.466,19,40,0.02319,thrq26,0.000249978941,0.000110998211,0.444030255,
527,2,25,15.0,0.96,14000.017,11071.754,14.101,2928.263,9341360.041,4232.739,3456.981,3327.215,958.567,965.056,1346.892,0.881,2.115,3314.061,295.573,4.746,5.097,566.873,27.538,16.706,17.835,-0.885,-0.003,0.456,19,40,0.01629,thrq26,0.000164827085,6.52766903e-05,0.39603132,
548,2,26,15.0,1.0,14000.031,11036.803,14.254,2963.228,9513768.715,4277.206,3463.213,3333.69,998.441,1004.769,1375.626,0.884,2.139,3319.739,304.662,4.9,5.244,552.791,28.861,16.591,17.651,-0.878,0.019,0.445,19,40,0.01092,thrq26,0.000104968167,3.63145809e-05,0.345958024,
569,2,27,15.0,1.04,13999.967,11004.128,14.387,2995.838,9663126.829,4317.195,3466.403,3337.004,1038.399,1044.686,1405.045,0.886,2.159,3321.879,317.355,5.118,5.457,539.375,30.472,16.674,17.685,-0.88,-0.003,0.436,19,40,0.007711,thrq26,6.63157625e-05,1.97805675e-05,0.298278511,
590,2,28,15.0,1.08,13999.987,10974.129,14.513,3025.858,9804791.538,4354.378,3466.388,3336.989,1078.58,1084.744,1435.08,0.888,2.178,3320.731,329.002,5.326,5.658,525.484,32.05,16.705,17.656,-0.882,0.002,0.427,19,40,0.00499,thrq26,4.11819565e-05,1.06791867e-05,0.25931713,
611,2,29,15.0,1.12,13999.987,10943.07,14.64,3056.916,9948427.124,4392.398,3466.995,3337.619,1118.295,1124.721,1465.531,0.89,2.198,3320.267,339.898,5.499,5.845,511.921,33.583,16.635,17.59,-0.877,0.017,0.419,19,40,0.003068,thrq26,2.49422083e-05,6.26936571e-06,0.251355678,
632,2,30,15.0,1.16,13999.998,10910.559,14.767,3089.439,10090396.185,4431.143,3468.917,3339.616,1158.02,1164.314,1496.132,0.892,2.217,3321.089,351.29,5.696,6.038,499.196,35.134,16.65,17.561,-0.881,0.02,0.411,19,40,0.001945,thrq26,1.47801711e-05,4.43280715e-06,0.29991582,
653,2,31,15.0,1.2,13999.997,10891.012,14.836,3108.985,10166515.266,4453.347,3459.999,3330.352,1192.98,1200.669,1524.596,0.893,2.226,3310.087,366.829,5.931,6.324,487.174,36.979,16.778,17.789,-0.88,0.066,0.406,19,40,0.0006546,thrq26,9.03380351e-06,4.18227773e-06,0.462958694,
674,2,32,15.0,1.24,13999.998,10844.853,14.88,3155.145,10182446.744,4487.47,3454.157,3324.281,1237.883,1266.047,1576.598,0.892,2.212,3296.441,429.332,6.217,7.42,476.322,42.03,16.94,19.823,-0.908,0.114,0.41,19,40,7.534e-05,thrq26,3.47527339e-06,5.9736517e-06,1.71890128,
695,2,33,15.0,1.28,13999.999,10828.313,14.939,3171.686,10248325.123,4506.431,3441.309,3310.929,1276.956,1302.463,1605.987,0.893,2.22,3281.284,442.071,6.599,7.673,463.492,43.645,17.365,19.841,-0.853,0.323,0.405,19,40,5.422e-05,thrq26,1.84772091e-06,6.48905188e-06,3.51192212,
716,2,34,15.0,1.32,14000.002,10770.014,15.122,3229.988,10441609.494,4568.855,3467.813,3338.468,1316.522,1341.476,1637.785,0.895,2.241,3307.202,455.838,6.825,7.848,456.966,44.929,17.565,19.865,-0.881,0.282,0.4,19,40,1.872e-05,thrq26,8.28302461e-07,6.73716477e-06,8.13370132,
737,2,35,15.0,1.36,13999.997,10786.113,15.093,3213.884,10418094.333,4554.904,3417.9,3286.592,1358.574,1382.549,1671.594,0.895,2.241,3253.35,466.263,7.166,8.156,435.869,46.93,17.574,19.709,-0.708,0.619,0.394,19,40,2.494e-05,thrq26,3.21042478e-07,7.06042829e-06,21.9921932,
758,2,36,15.0,1.4,14000.001,10774.053,15.104,3225.948,10421831.318,4563.833,3392.699,3260.376,1397.439,1427.381,1708.86,0.895,2.238,3223.3,490.293,7.463,8.649,421.158,49.338,17.638,20.09,-0.767,0.605,0.392,19,40,6.5e-06,thrq26,9.37723215e-08,7.66847916e-06,81.7776413,
779,2,37,15.0,1.44,14000.0,10748.937,15.233,3251.063,10574538.421,4598.255,3388.882,3256.404,1438.193,1461.894,1737.791,0.897,2.262,3219.807,486.84,7.649,8.598,407.584,50.064,17.537,19.452,-0.642,0.749,0.382,19,40,2.288e-06,thrq26,3.24842624e-08,7.00630562e-06,215.683075,
800,2,38,15.0,1.48,14000.0,10677.41,15.323,3322.59,10627222.559,4654.764,3439.001,3308.531,1468.617,1487.278,1759.198,0.895,2.246,3265.601,531.247,8.584,9.24,418.117,51.796,19.638,20.928,-0.732,0.648,0.394,19,40,1.241e-06,thrq26,2.82086319e-08,7.11005896e-06,252.052597,
821,2,39,15.0,1.52,13999.999,10725.627,15.504,3274.372,10928359.271,4652.942,3348.375,3214.227,1529.857,1537.207,1801.608,0.903,2.333,3182.731,448.869,7.712,8.028,367.503,50.692,16.377,16.978,-0.538,0.843,0.353,19,40,2.85e-07,thrq26,6.01682544e-08,3.18717252e-06,52.9709969,
842,2,40,15.0,1.56,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
24,3,1,25.0,0.0,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
45,3,2,25.0,0.04,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
66,3,3,25.0,0.08,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
87,3,4,25.0,0.12,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
108,3,5,25.0,0.16,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
129,3,6,25.0,0.2,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
150,3,7,25.0,0.24,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
171,3,8,25.0,0.28,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
192,3,9,25.0,0.32,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
213,3,10,25.0,0.36,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq26,-1.0,-1.0,1.0,
