# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 4-Momentum Transfer (Q2) = 3.50 - 4.50 GeV (step: 0.25) 
# x-Bjorken (xbj) = 1.30 - 1.6 (step: 0.01) 
# Missing Momentum (Pr) = 0.00 - 1.0 GeV (step: 0.10) 
# 
# th_nq = 35 +/- 1 deg
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.6000 	 1.4600 	 9.0890 	 11.7232 	 2.0129 	 58.0226 	 2.4762 	 48.2276 	 34.8005 	 9.7950 	 4.0000
  0.6000 	 1.4700 	 9.0989 	 11.7168 	 2.0019 	 58.0854 	 2.4704 	 48.4152 	 34.0873 	 9.6703 	 4.0000
  0.6000 	 1.4400 	 8.9762 	 12.1613 	 2.1367 	 56.3178 	 2.5930 	 46.8245 	 35.9682 	 9.4933 	 4.2500
  0.6000 	 1.4500 	 8.9871 	 12.1539 	 2.1248 	 56.3951 	 2.5864 	 47.0172 	 35.2427 	 9.3779 	 4.2500
  0.6000 	 1.4600 	 8.9978 	 12.1467 	 2.1131 	 56.4659 	 2.5800 	 47.2083 	 34.5114 	 9.2576 	 4.2500
  0.6000 	 1.4400 	 8.8837 	 12.5805 	 2.2373 	 54.8541 	 2.6969 	 45.8471 	 35.7165 	 9.0070 	 4.5000
  0.6000 	 1.4500 	 8.8952 	 12.5724 	 2.2249 	 54.9328 	 2.6898 	 46.0414 	 34.9687 	 8.8913 	 4.5000
  0.6000 	 1.4600 	 8.9065 	 12.5643 	 2.2126 	 55.0047 	 2.6829 	 46.2341 	 34.2142 	 8.7707 	 4.5000
  0.7000 	 1.4600 	 9.2715 	 10.8549 	 1.7452 	 63.9499 	 2.2654 	 50.4207 	 35.6795 	 13.5292 	 3.5000
  0.7000 	 1.4700 	 9.2802 	 10.8498 	 1.7353 	 64.0234 	 2.2605 	 50.6038 	 35.1233 	 13.4196 	 3.5000
  0.7000 	 1.4800 	 9.2888 	 10.8448 	 1.7256 	 64.0911 	 2.2557 	 50.7852 	 34.5654 	 13.3059 	 3.5000
  0.7000 	 1.4900 	 9.2972 	 10.8398 	 1.7160 	 64.1531 	 2.2510 	 50.9650 	 34.0057 	 13.1881 	 3.5000
  0.7000 	 1.4600 	 9.1803 	 11.2930 	 1.8482 	 62.0498 	 2.3714 	 49.2966 	 35.6501 	 12.7532 	 3.7500
  0.7000 	 1.4700 	 9.1896 	 11.2872 	 1.8377 	 62.1262 	 2.3660 	 49.4821 	 35.0759 	 12.6441 	 3.7500
  0.7000 	 1.4800 	 9.1988 	 11.2816 	 1.8274 	 62.1968 	 2.3608 	 49.6659 	 34.4997 	 12.5309 	 3.7500
  0.7000 	 1.4600 	 9.0890 	 11.7232 	 1.9499 	 60.2854 	 2.4762 	 48.2276 	 35.5852 	 12.0578 	 4.0000
  0.7000 	 1.4700 	 9.0989 	 11.7168 	 1.9389 	 60.3643 	 2.4704 	 48.4152 	 34.9935 	 11.9491 	 4.0000
  0.7000 	 1.4800 	 9.1087 	 11.7105 	 1.9280 	 60.4373 	 2.4646 	 48.6010 	 34.3991 	 11.8363 	 4.0000
