# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 8.800 GeV
# 4-Momentum Transfer (Q2) = 1.00 - 1.90 GeV (step: 0.10) 
# x-Bjorken (xbj) = 1.00 - 2.05 (step: 0.05) 
# Missing Momentum (Pr) = 0.10 - 0.55 GeV (step: 0.05) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq - thpq, phi = 0  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.4000 	 1.6000 	 8.3670 	 7.6188 	 0.8815 	 53.6111 	 1.2196 	 65.4446 	 26.8680 	 11.8335 	 1.3000  (TOO LOW Q2, <1), but can make		Q2>1 cut

  0.5000 	 1.8000 	 8.3559 	 8.1903 	 0.8340 	 56.4521 	 1.3028 	 66.0278 	 16.1098 	 9.5757 	 1.5000
  0.5000 	 1.6000 	 8.2671 	 8.5048 	 0.9625 	 48.6694 	 1.3726 	 62.9688 	 28.3902 	 14.2995 	 1.6000
  0.5000 	 1.6500 	 8.2833 	 8.4965 	 0.9399 	 50.3749 	 1.3664 	 63.5949 	 25.4594 	 13.2200 	 1.6000
  0.5000 	 1.7000 	 8.2985 	 8.4887 	 0.9183 	 52.2315 	 1.3607 	 64.1892 	 22.3649 	 11.9577 	 1.6000
  0.5000 	 1.7500 	 8.3128 	 8.4813 	 0.8976 	 54.3034 	 1.3555 	 64.7541 	 19.0047 	 10.4507 	 1.6000
  0.5000 	 1.8000 	 8.3263 	 8.4744 	 0.8780 	 56.7159 	 1.3507 	 65.2915 	 15.1788 	 8.5756 	 1.6000
  0.5000 	 1.6000 	 8.2338 	 8.7848 	 1.0085 	 48.6857 	 1.4215 	 62.2075 	 28.1393 	 13.5218 	 1.7000
  0.5000 	 1.6500 	 8.2510 	 8.7756 	 0.9850 	 50.4192 	 1.4147 	 62.8471 	 25.0840 	 12.4278 	 1.7000
  0.5000 	 1.7000 	 8.2671 	 8.7670 	 0.9625 	 52.3154 	 1.4085 	 63.4546 	 21.8335 	 11.1392 	 1.7000
  0.5000 	 1.7500 	 8.2823 	 8.7590 	 0.9412 	 54.4500 	 1.4028 	 64.0322 	 18.2602 	 9.5821 	 1.7000
