        
#This file contains combined Reduced Cross Sections from all data sets of the same kinematic bin. pm80 + pm580 (sets 1 and 2) +  pm750 (sets 1, 2 and 3)                                                                                                                                                                                           
#\ xb = th_nq                                                                                                    
#\ yb = pm                                                                        
#relative errors df/f=dsig/sig: kin_syst_tot (kinematic systematics),  norm_syst_tot (constant, norm. syst.)
# current header line: all averaged kinematics are either in GeV or deg : Ei_avg (beam energy), kf_avg(final e- momentum),  the_avg(final e- angle), pf_avg(final proton momentum),
# nu_avg(energy transfer, Ei-kf), Q2_avg(4-momentum transfer, GeV2), q_avg(|qlab|, magnitude of 3-momentum transfer), cthpq_cm_avg(c.o.mass angle between proton and qlab), cphi_avg(out-of-plane angle between proton and qlab)
i_b,i_x,i_y,xb,yb,pm_avg,kin_syst_tot,norm_syst_tot,tot_syst_err,tot_stats_err,tot_err,red_dataXsec_avg,red_dataXsec_avg_err,red_dataXsec_avg_syst_err,red_dataXsec_avg_tot_err,red_pwiaXsec_avg,red_fsiXsec_avg   
31,1,0,15.000000, 0.020000, 0.031228, 0.000000,0.000000, 0.000000, 0.205455, 0.205455, 1.160215005661e-06,2.383724130752e-07,0.000000000000e+00,2.383724130752e-07,7.355376681365e-07,7.154597231653e-07
32,1,1,15.000000, 0.060000, 0.061732, 0.000000,0.000000, 0.000000, 0.063214, 0.063214, 2.083592851906e-07,1.317121653051e-08,0.000000000000e+00,1.317121653051e-08,1.841049058594e-07,1.769737544857e-07
33,1,2,15.000000, 0.100000, 0.097436, 0.000000,0.000000, 0.000000, 0.044986, 0.044986, 5.017096002528e-08,2.256991042772e-09,0.000000000000e+00,2.256991042772e-09,4.068474811654e-08,3.858160927817e-08
34,1,3,15.000000, 0.140000, 0.135918, 0.000000,0.000000, 0.000000, 0.049939, 0.049939, 1.151995727502e-08,5.752917592462e-10,0.000000000000e+00,5.752917592462e-10,1.043742938341e-08,9.834815056934e-09
35,1,4,15.000000, 0.180000, 0.174641, 0.000000,0.000000, 0.000000, 0.081535, 0.081535, 3.997702753549e-09,3.259541415526e-10,0.000000000000e+00,3.259541415526e-10,3.190732085923e-09,3.014979573116e-09
36,1,5,15.000000, 0.220000, 0.212296, 0.000000,0.000000, 0.000000, 0.208784, 0.208784, 1.212084065658e-09,2.530639577479e-10,0.000000000000e+00,2.530639577479e-10,1.171875103226e-09,1.111183141893e-09
37,1,6,15.000000, 0.260000, 0.243836, 0.000000,0.000000, 0.000000, 0.473965, 0.473965, 1.681085562271e-09,7.967753096861e-10,0.000000000000e+00,7.967753096861e-10,6.354883477249e-10,6.008418847676e-10
38,1,7,15.000000, 0.300000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,6.924225257662e-08,6.752903330636e-08
39,1,8,15.000000, 0.340000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.115622736794e-07,2.063684877732e-07
40,1,9,15.000000, 0.380000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,4.069398456627e-07,3.969890473653e-07
41,1,10,15.000000, 0.420000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,6.338450689462e-07,6.184010879086e-07
42,1,11,15.000000, 0.460000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,4.366120488967e-07,4.260060317857e-07
43,1,12,15.000000, 0.500000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,5.550327189786e-07,5.415934158564e-07
44,1,13,15.000000, 0.540000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,6.669095901223e-07,6.508066604317e-07
45,1,14,15.000000, 0.580000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,7.688611600713e-07,7.503393549351e-07
46,1,15,15.000000, 0.620000, 0.620481, 0.000000,0.000000, 0.000000, 1.004827, 1.004827, 1.043013877322e-11,1.048049026779e-11,0.000000000000e+00,1.048049026779e-11,8.589599271580e-07,8.383040987976e-07
47,1,16,15.000000, 0.660000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,9.362803154183e-07,9.137921432959e-07
48,1,17,15.000000, 0.700000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.000515124528e-06,9.764991273638e-07
49,1,18,15.000000, 0.740000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.051681228280e-06,1.026437789580e-06
50,1,19,15.000000, 0.780000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.179801948405e-06,2.127451390056e-06
51,1,20,15.000000, 0.820000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.230503661611e-06,2.176869307955e-06
52,1,21,15.000000, 0.860000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.255267204325e-06,2.200931648626e-06
53,1,22,15.000000, 0.900000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.253336823525e-06,2.198897545340e-06
54,1,23,15.000000, 0.940000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.223172437416e-06,2.169260912920e-06
55,1,24,15.000000, 0.980000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.162167944641e-06,2.109475508230e-06
56,1,25,15.000000, 1.020000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.066253030992e-06,2.015566602393e-06
57,1,26,15.000000, 1.060000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.929285714973e-06,1.881538955502e-06
58,1,27,15.000000, 1.100000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.742075566492e-06,1.698425458513e-06
59,1,28,15.000000, 1.140000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.490738082351e-06,1.452685423461e-06
60,1,29,15.000000, 1.180000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.153778269671e-06,1.123368208368e-06
61,2,0,25.000000, 0.020000, 0.031891, 0.000000,0.000000, 0.000000, 0.161715, 0.161715, 9.833417430124e-07,1.590209357792e-07,0.000000000000e+00,1.590209357792e-07,6.965981912915e-07,6.767765854293e-07
62,2,1,25.000000, 0.060000, 0.060764, 0.000000,0.000000, 0.000000, 0.052950, 0.052950, 1.944951483738e-07,1.029852419707e-08,0.000000000000e+00,1.029852419707e-08,1.907197788422e-07,1.832113322016e-07
63,2,2,25.000000, 0.100000, 0.097852, 0.000000,0.000000, 0.000000, 0.036141, 0.036141, 4.543122858791e-08,1.641924960927e-09,0.000000000000e+00,1.641924960927e-09,3.991408026472e-08,3.763041644737e-08
64,2,3,25.000000, 0.140000, 0.136531, 0.000000,0.000000, 0.000000, 0.038783, 0.038783, 1.186239508297e-08,4.600566867670e-10,0.000000000000e+00,4.600566867670e-10,1.021574666682e-08,9.538663400335e-09
65,2,4,25.000000, 0.180000, 0.175549, 0.000000,0.000000, 0.000000, 0.061028, 0.061028, 3.431991305895e-09,2.094481232734e-10,0.000000000000e+00,2.094481232734e-10,3.104834392778e-09,2.902496844715e-09
66,2,5,25.000000, 0.220000, 0.214865, 0.000000,0.000000, 0.000000, 0.125766, 0.125766, 1.252085252381e-09,1.574694172466e-10,0.000000000000e+00,1.574694172466e-10,1.100622669723e-09,1.035970716884e-09
67,2,6,25.000000, 0.260000, 0.250441, 0.000000,0.000000, 0.000000, 0.340642, 0.340642, 4.552039789932e-10,1.550616158587e-10,0.000000000000e+00,1.550616158587e-10,4.826698054010e-10,4.561814517990e-10
68,2,7,25.000000, 0.300000, 0.283331, 0.000000,0.000000, 0.000000, 0.785769, 0.785769, 1.535441629045e-09,1.206501743981e-09,0.000000000000e+00,1.206501743981e-09,2.827963299091e-10,2.689783503053e-10
69,2,8,25.000000, 0.340000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,6.338197403481e-08,6.183315561950e-08
70,2,9,25.000000, 0.380000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.869552926369e-07,1.824045376084e-07
71,2,10,25.000000, 0.420000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.756182949108e-07,1.713508617596e-07
72,2,11,25.000000, 0.460000, 0.462829, 0.000000,0.000000, 0.000000, 0.450268, 0.450268, 9.878121299835e-12,4.447797235212e-12,0.000000000000e+00,4.447797235212e-12,2.702610595031e-07,2.637128543787e-07
73,2,12,25.000000, 0.500000, 0.501098, 0.000000,0.000000, 0.000000, 0.382802, 0.382802, 5.564093918911e-12,2.129944967562e-12,0.000000000000e+00,2.129944967562e-12,3.713696183628e-07,3.623952424155e-07
74,2,13,25.000000, 0.540000, 0.540446, 0.000000,0.000000, 0.000000, 0.314117, 0.314117, 4.493743961268e-12,1.411562211859e-12,0.000000000000e+00,1.411562211859e-12,4.742964275201e-07,4.628622274375e-07
75,2,14,25.000000, 0.580000, 0.579962, 0.000000,0.000000, 0.000000, 0.279230, 0.279230, 4.304326108592e-12,1.201898615308e-12,0.000000000000e+00,1.201898615308e-12,3.836651601062e-07,4.493199921475e-07
76,2,15,25.000000, 0.620000, 0.620951, 0.000000,0.000000, 0.000000, 0.343784, 0.343784, 1.904555387549e-12,6.547547741423e-13,0.000000000000e+00,6.547547741423e-13,4.481632845427e-07,5.248793972953e-07
77,2,16,25.000000, 0.660000, 0.659125, 0.000000,0.000000, 0.000000, 0.287011, 0.287011, 2.258583602877e-12,6.482392989710e-13,0.000000000000e+00,6.482392989710e-13,5.082905131517e-07,4.961005746010e-07
78,2,17,25.000000, 0.700000, 0.700610, 0.000000,0.000000, 0.000000, 0.540033, 0.540033, 5.080358854568e-13,2.743563439710e-13,0.000000000000e+00,2.743563439710e-13,5.629249307190e-07,5.494373534071e-07
79,2,18,25.000000, 0.740000, 0.739377, 0.000000,0.000000, 0.000000, 0.382859, 0.382859, 1.359175147074e-12,5.203720692013e-13,0.000000000000e+00,5.203720692013e-13,6.111286177250e-07,5.964919579311e-07
80,2,19,25.000000, 0.780000, 0.779019, 0.000000,0.000000, 0.000000, 0.569918, 0.569918, 5.600240212686e-13,3.191675487138e-13,0.000000000000e+00,3.191675487138e-13,6.520632650349e-07,6.364430592220e-07
81,2,20,25.000000, 0.820000, 0.818341, 0.000000,0.000000, 0.000000, 0.580140, 0.580140, 4.266472147686e-13,2.475152951398e-13,0.000000000000e+00,2.475152951398e-13,6.849164407210e-07,6.684945745695e-07
82,2,21,25.000000, 0.860000, 0.859508, 0.000000,0.000000, 0.000000, 0.522813, 0.522813, 4.705210735409e-13,2.459945225811e-13,0.000000000000e+00,2.459945225811e-13,7.088323053696e-07,6.918081114642e-07
83,2,22,25.000000, 0.900000, 0.896618, 0.000000,0.000000, 0.000000, 0.499628, 0.499628, 4.580535455254e-13,2.288563932348e-13,0.000000000000e+00,2.288563932348e-13,7.228408509551e-07,7.054339633645e-07
84,2,23,25.000000, 0.940000, 0.938669, 0.000000,0.000000, 0.000000, 0.630947, 0.630947, 2.830600199269e-13,1.785959363987e-13,0.000000000000e+00,1.785959363987e-13,1.088667558583e-06,1.062350373392e-06
85,2,24,25.000000, 0.980000, 0.977791, 0.000000,0.000000, 0.000000, 0.450588, 0.450588, 5.828881064993e-13,2.626425701972e-13,0.000000000000e+00,2.626425701972e-13,1.074286878765e-06,1.048178403301e-06
86,2,25,25.000000, 1.020000, 1.018301, 0.000000,0.000000, 0.000000, 0.577864, 0.577864, 5.883358503777e-13,3.399780515671e-13,0.000000000000e+00,3.399780515671e-13,1.038310835997e-06,1.012891052405e-06
87,2,26,25.000000, 1.060000, 1.056358, 0.000000,0.000000, 0.000000, 0.845273, 0.845273, 2.784430180382e-13,2.353602346221e-13,0.000000000000e+00,2.353602346221e-13,9.770374402691e-07,9.528734875974e-07
88,2,27,25.000000, 1.100000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.770961211993e-06,8.632602559207e-07
89,2,28,25.000000, 1.140000, 1.136750, 0.000000,0.000000, 0.000000, 1.000653, 1.000653, 5.132546455626e-13,5.135896260530e-13,0.000000000000e+00,5.135896260530e-13,1.513550625349e-06,9.831426919274e-07
90,2,29,25.000000, 1.180000, 1.175986, 0.000000,0.000000, 0.000000, 1.001133, 1.001133, 8.761225322013e-13,8.771147449927e-13,0.000000000000e+00,8.771147449927e-13,1.162464271781e-06,7.542969699795e-07
91,3,0,35.000000, 0.020000, 0.031954, 0.000000,0.000000, 0.000000, 0.145715, 0.145715, 9.019148328448e-07,1.314227556302e-07,0.000000000000e+00,1.314227556302e-07,6.895351274363e-07,6.692939954002e-07
92,3,1,35.000000, 0.060000, 0.061950, 0.000000,0.000000, 0.000000, 0.045842, 0.045842, 1.779997786792e-07,8.159951844350e-09,0.000000000000e+00,8.159951844350e-09,1.822607087573e-07,1.742720971087e-07
93,3,2,35.000000, 0.100000, 0.097625, 0.000000,0.000000, 0.000000, 0.032211, 0.032211, 3.919147784047e-08,1.262390815599e-09,0.000000000000e+00,1.262390815599e-09,4.039460164017e-08,3.780533058552e-08
94,3,3,35.000000, 0.140000, 0.136597, 0.000000,0.000000, 0.000000, 0.034406, 0.034406, 1.080734785360e-08,3.718327809734e-10,0.000000000000e+00,3.718327809734e-10,1.020953963279e-08,9.385459603146e-09
95,3,4,35.000000, 0.180000, 0.176338, 0.000000,0.000000, 0.000000, 0.053990, 0.053990, 3.127516765325e-09,1.688551765779e-10,0.000000000000e+00,1.688551765779e-10,3.063317304016e-09,2.802726151102e-09
96,3,5,35.000000, 0.220000, 0.216224, 0.000000,0.000000, 0.000000, 0.092606, 0.092606, 1.258669858338e-09,1.165604857566e-10,0.000000000000e+00,1.165604857566e-10,1.065952238350e-09,9.847310465133e-10
97,3,6,35.000000, 0.260000, 0.254832, 0.000000,0.000000, 0.000000, 0.216423, 0.216423, 3.594891689339e-10,7.780186494212e-11,0.000000000000e+00,7.780186494212e-11,4.376622610635e-10,4.117287047731e-10
