# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 12.000 GeV
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
0.8000,1.3000,10.1554,11.0271,2.3024,57.6455,2.8112,43.7073,43.8869,13.9382,4.5000
0.8000,1.3100,10.1694,11.0194,2.2872,57.8205,2.8020,43.9264,43.3552,13.8941,4.5000
0.8000,1.3200,10.1833,11.0119,2.2722,57.9904,2.7929,44.1435,42.8238,13.8469,4.5000
0.8000,1.3300,10.1970,11.0045,2.2574,58.1553,2.7840,44.3587,42.2926,13.7966,4.5000
0.8000,1.3400,10.2104,10.9972,2.2428,58.3152,2.7753,44.5721,41.7615,13.7431,4.5000
0.8000,1.3500,10.2237,10.9901,2.2284,58.4700,2.7668,44.7835,41.2303,13.6865,4.5000
0.8000,1.3600,10.2367,10.9830,2.2143,58.6198,2.7585,44.9932,40.6991,13.6267,4.5000
0.8000,1.3700,10.2496,10.9761,2.2003,58.7646,2.7502,45.2010,40.1676,13.5636,4.5000
0.8000,1.3800,10.2623,10.9693,2.1865,58.9042,2.7422,45.4069,39.6358,13.4973,4.5000
0.8000,1.3900,10.2748,10.9626,2.1729,59.0388,2.7343,45.6111,39.1035,13.4276,4.5000
0.8000,1.4000,10.2871,10.9560,2.1594,59.1682,2.7265,45.8136,38.5705,13.3546,4.5000
0.8000,1.4100,10.2993,10.9495,2.1462,59.2924,2.7189,46.0143,38.0369,13.2781,4.5000
0.8000,1.4200,10.3112,10.9432,2.1331,59.4114,2.7114,46.2132,37.5023,13.1982,4.5000
0.8000,1.4300,10.3231,10.9369,2.1202,59.5252,2.7041,46.4104,36.9668,13.1148,4.5000
0.8000,1.4400,10.3347,10.9307,2.1075,59.6337,2.6969,46.6059,36.4301,13.0278,4.5000
0.8000,1.4500,10.3462,10.9246,2.0949,59.7369,2.6898,46.7998,35.8920,12.9371,4.5000
0.8000,1.4600,10.3575,10.9186,2.0825,59.8347,2.6829,46.9920,35.3525,12.8428,4.5000
0.8000,1.4700,10.3687,10.9127,2.0702,59.9271,2.6760,47.1825,34.8112,12.7446,4.5000
0.8000,1.4800,10.3797,10.9069,2.0581,60.0140,2.6693,47.3714,34.2682,12.6426,4.5000
0.8000,1.4900,10.3906,10.9012,2.0461,60.0953,2.6627,47.5587,33.7231,12.5366,4.5000
0.8000,1.5000,10.4013,10.8955,2.0343,60.1710,2.6563,47.7444,33.1757,12.4266,4.5000
0.8000,1.5100,10.4119,10.8900,2.0227,60.2409,2.6499,47.9285,32.6258,12.3125,4.5000
0.8000,1.5200,10.4224,10.8845,2.0111,60.3051,2.6437,48.1110,32.0733,12.1941,4.5000
0.8000,1.5300,10.4327,10.8791,1.9998,60.3634,2.6375,48.2920,31.5178,12.0714,4.5000
0.8000,1.5400,10.4428,10.8738,1.9885,60.4157,2.6315,48.4715,30.9591,11.9442,4.5000
0.8000,1.5500,10.4529,10.8685,1.9774,60.4618,2.6256,48.6494,30.3969,11.8124,4.5000
0.8000,1.5600,10.4628,10.8634,1.9664,60.5018,2.6197,48.8259,29.8309,11.6759,4.5000
0.8000,1.5700,10.4726,10.8583,1.9556,60.5353,2.6140,49.0009,29.2608,11.5344,4.5000
0.8000,1.5800,10.4823,10.8533,1.9448,60.5623,2.6084,49.1744,28.6863,11.3880,4.5000
0.8000,1.5900,10.4918,10.8483,1.9342,60.5826,2.6028,49.3464,28.1068,11.2362,4.5000
0.8000,1.6000,10.5012,10.8434,1.9238,60.5961,2.5974,49.5170,27.5221,11.0790,4.5000
0.8000,1.6100,10.5105,10.8386,1.9134,60.6024,2.5920,49.6862,26.9317,10.9162,4.5000
0.8000,1.6200,10.5197,10.8339,1.9031,60.6014,2.5867,49.8540,26.3351,10.7474,4.5000
0.8000,1.6300,10.5288,10.8292,1.8930,60.5928,2.5815,50.0204,25.7318,10.5724,4.5000
0.8000,1.6400,10.5378,10.8245,1.8830,60.5764,2.5764,50.1854,25.1211,10.3910,4.5000
0.8000,1.6500,10.5467,10.8200,1.8731,60.5519,2.5714,50.3491,24.5025,10.2028,4.5000
0.8000,1.6600,10.5554,10.8155,1.8633,60.5188,2.5665,50.5113,23.8751,10.0074,4.5000
0.8000,1.6700,10.5641,10.8110,1.8536,60.4768,2.5616,50.6723,23.2381,9.8045,4.5000
0.8000,1.6800,10.5726,10.8067,1.8440,60.4254,2.5568,50.8320,22.5907,9.5935,4.5000
0.8000,1.6900,10.5811,10.8023,1.8345,60.3642,2.5521,50.9903,21.9318,9.3739,4.5000
0.8000,1.7000,10.5894,10.7981,1.8252,60.2925,2.5475,51.1473,21.2603,9.1452,4.5000
0.8000,1.7100,10.5976,10.7938,1.8159,60.2097,2.5430,51.3031,20.5746,8.9066,4.5000
0.8000,1.7200,10.6058,10.7897,1.8067,60.1150,2.5385,51.4576,19.8734,8.6574,4.5000
0.8000,1.7300,10.6139,10.7856,1.7976,60.0075,2.5340,51.6108,19.1547,8.3967,4.5000
0.8000,1.7400,10.6218,10.7815,1.7886,59.8861,2.5297,51.7628,18.4164,8.1233,4.5000
0.8000,1.7500,10.6297,10.7775,1.7797,59.7495,2.5254,51.9136,17.6559,7.8359,4.5000
0.8000,1.7600,10.6375,10.7735,1.7709,59.5962,2.5212,52.0632,16.8701,7.5330,4.5000
0.8000,1.7700,10.6452,10.7696,1.7622,59.4242,2.5170,52.2115,16.0550,7.2127,4.5000
0.8000,1.7800,10.6528,10.7658,1.7536,59.2312,2.5130,52.3587,15.2060,6.8725,4.5000
0.8000,1.7900,10.6603,10.7620,1.7450,59.0140,2.5089,52.5047,14.3167,6.5093,4.5000
0.8000,1.8000,10.6678,10.7582,1.7366,58.7687,2.5050,52.6495,13.3790,6.1192,4.5000
0.8000,1.8100,10.6751,10.7545,1.7282,58.4896,2.5011,52.7932,12.3817,5.6965,4.5000
0.8000,1.8200,10.6824,10.7508,1.7199,58.1691,2.4972,52.9357,11.3090,5.2334,4.5000
0.8000,1.8300,10.6896,10.7472,1.7117,57.7953,2.4934,53.0771,10.1366,4.7182,4.5000
0.8000,1.8400,10.6967,10.7436,1.7036,57.3487,2.4897,53.2174,8.8249,4.1314,4.5000
0.8000,1.8500,10.7038,10.7400,1.6955,56.7930,2.4860,53.3566,7.2986,3.4364,4.5000
0.8000,1.8600,10.7107,10.7365,1.6876,56.0412,2.4824,53.4946,5.3780,2.5465,4.5000
0.8000,1.8700,10.7176,10.7331,1.6797,54.6784,2.4788,53.6316,2.1982,1.0468,4.5000
0.8100,1.0000,9.6020,11.3414,2.8843,50.2286,3.2016,36.1416,60.0787,14.0870,4.5000
0.8100,1.0100,9.6257,11.3274,2.8594,50.5564,3.1839,36.4278,59.5067,14.1286,4.5000
0.8100,1.0200,9.6490,11.3137,2.8349,50.8789,3.1666,36.7115,58.9373,14.1674,4.5000
0.8100,1.0300,9.6718,11.3003,2.8108,51.1962,3.1497,36.9927,58.3702,14.2035,4.5000
0.8100,1.0400,9.6942,11.2872,2.7872,51.5082,3.1332,37.2714,57.8056,14.2369,4.5000
0.8100,1.0500,9.7162,11.2744,2.7640,51.8150,3.1170,37.5475,57.2432,14.2675,4.5000
0.8100,1.0600,9.7377,11.2618,2.7413,52.1166,3.1013,37.8212,56.6831,14.2954,4.5000
0.8100,1.0700,9.7589,11.2496,2.7189,52.4130,3.0859,38.0925,56.1251,14.3205,4.5000
0.8100,1.0800,9.7796,11.2376,2.6969,52.7043,3.0709,38.3614,55.5693,14.3429,4.5000
0.8100,1.0900,9.8000,11.2259,2.6754,52.9904,3.0562,38.6278,55.0156,14.3625,4.5000
0.8100,1.1000,9.8200,11.2144,2.6542,53.2713,3.0418,38.8919,54.4638,14.3794,4.5000
0.8100,1.1100,9.8396,11.2032,2.6333,53.5471,3.0277,39.1537,53.9140,14.3935,4.5000
0.8100,1.1200,9.8589,11.1922,2.6128,53.8179,3.0140,39.4131,53.3660,14.4048,4.5000
0.8100,1.1300,9.8779,11.1814,2.5927,54.0835,3.0006,39.6702,52.8199,14.4133,4.5000
0.8100,1.1400,9.8965,11.1708,2.5729,54.3440,2.9874,39.9249,52.2755,14.4191,4.5000
0.8100,1.1500,9.9148,11.1605,2.5534,54.5995,2.9746,40.1775,51.7327,14.4220,4.5000
0.8100,1.1600,9.9327,11.1504,2.5342,54.8499,2.9620,40.4278,51.1916,14.4221,4.5000
0.8100,1.1700,9.9504,11.1404,2.5154,55.0953,2.9497,40.6758,50.6520,14.4195,4.5000
0.8100,1.1800,9.9678,11.1307,2.4968,55.3356,2.9377,40.9217,50.1139,14.4140,4.5000
0.8100,1.1900,9.9849,11.1211,2.4786,55.5709,2.9259,41.1653,49.5771,14.4056,4.5000
0.8100,1.2000,10.0016,11.1118,2.4606,55.8012,2.9143,41.4068,49.0417,14.3944,4.5000
0.8100,1.2100,10.0182,11.1026,2.4429,56.0265,2.9030,41.6462,48.5075,14.3804,4.5000
0.8100,1.2200,10.0344,11.0936,2.4255,56.2468,2.8920,41.8834,47.9746,14.3634,4.5000
0.8100,1.2300,10.0504,11.0847,2.4084,56.4622,2.8811,42.1186,47.4427,14.3436,4.5000
0.8100,1.2400,10.0661,11.0760,2.3915,56.6725,2.8705,42.3516,46.9118,14.3209,4.5000
0.8100,1.2500,10.0816,11.0675,2.3749,56.8778,2.8601,42.5826,46.3819,14.2952,4.5000
0.8100,1.2600,10.0968,11.0591,2.3585,57.0782,2.8499,42.8115,45.8528,14.2666,4.5000
0.8100,1.2700,10.1118,11.0509,2.3424,57.2736,2.8400,43.0385,45.3245,14.2351,4.5000
0.8100,1.2800,10.1265,11.0428,2.3265,57.4640,2.8302,43.2634,44.7969,14.2006,4.5000
0.8100,1.2900,10.1411,11.0349,2.3108,57.6494,2.8206,43.4864,44.2700,14.1630,4.5000
0.8100,1.3000,10.1554,11.0271,2.2954,57.8298,2.8112,43.7073,43.7435,14.1225,4.5000
0.8100,1.3100,10.1694,11.0194,2.2801,58.0053,2.8020,43.9264,43.2175,14.0789,4.5000
0.8100,1.3200,10.1833,11.0119,2.2651,58.1757,2.7929,44.1435,42.6918,14.0322,4.5000
0.8100,1.3300,10.1970,11.0045,2.2504,58.3412,2.7840,44.3587,42.1663,13.9825,4.5000
0.8100,1.3400,10.2104,10.9972,2.2358,58.5016,2.7753,44.5721,41.6410,13.9296,4.5000
0.8100,1.3500,10.2237,10.9901,2.2214,58.6570,2.7668,44.7835,41.1157,13.8735,4.5000
0.8100,1.3600,10.2367,10.9830,2.2072,58.8074,2.7585,44.9932,40.5903,13.8142,4.5000
0.8100,1.3700,10.2496,10.9761,2.1932,58.9527,2.7502,45.2010,40.0648,13.7518,4.5000
0.8100,1.3800,10.2623,10.9693,2.1794,59.0929,2.7422,45.4069,39.5390,13.6860,4.5000
0.8100,1.3900,10.2748,10.9626,2.1658,59.2281,2.7343,45.6111,39.0127,13.6169,4.5000
0.8100,1.4000,10.2871,10.9560,2.1523,59.3581,2.7265,45.8136,38.4860,13.5445,4.5000
0.8100,1.4100,10.2993,10.9495,2.1391,59.4829,2.7189,46.0143,37.9585,13.4687,4.5000
0.8100,1.4200,10.3112,10.9432,2.1260,59.6026,2.7114,46.2132,37.4303,13.3894,4.5000
0.8100,1.4300,10.3231,10.9369,2.1131,59.7170,2.7041,46.4104,36.9011,13.3066,4.5000
0.8100,1.4400,10.3347,10.9307,2.1003,59.8262,2.6969,46.6059,36.3709,13.2202,4.5000
0.8100,1.4500,10.3462,10.9246,2.0878,59.9300,2.6898,46.7998,35.8394,13.1303,4.5000
0.8100,1.4600,10.3575,10.9186,2.0753,60.0285,2.6829,46.9920,35.3065,13.0366,4.5000
0.8100,1.4700,10.3687,10.9127,2.0631,60.1216,2.6760,47.1825,34.7721,12.9392,4.5000
0.8100,1.4800,10.3797,10.9069,2.0509,60.2093,2.6693,47.3714,34.2359,12.8379,4.5000
0.8100,1.4900,10.3906,10.9012,2.0390,60.2914,2.6627,47.5587,33.6978,12.7327,4.5000
0.8100,1.5000,10.4013,10.8955,2.0272,60.3679,2.6563,47.7444,33.1576,12.6235,4.5000
0.8100,1.5100,10.4119,10.8900,2.0155,60.4387,2.6499,47.9285,32.6150,12.5102,4.5000
0.8100,1.5200,10.4224,10.8845,2.0040,60.5037,2.6437,48.1110,32.0700,12.3927,4.5000
0.8100,1.5300,10.4327,10.8791,1.9926,60.5629,2.6375,48.2920,31.5221,12.2709,4.5000
0.8100,1.5400,10.4428,10.8738,1.9813,60.6162,2.6315,48.4715,30.9712,12.1447,4.5000
0.8100,1.5500,10.4529,10.8685,1.9702,60.6633,2.6256,48.6494,30.4170,12.0139,4.5000
0.8100,1.5600,10.4628,10.8634,1.9592,60.7043,2.6197,48.8259,29.8592,11.8784,4.5000
0.8100,1.5700,10.4726,10.8583,1.9483,60.7390,2.6140,49.0009,29.2976,11.7381,4.5000
0.8100,1.5800,10.4823,10.8533,1.9376,60.7672,2.6084,49.1744,28.7316,11.5928,4.5000
0.8100,1.5900,10.4918,10.8483,1.9270,60.7888,2.6028,49.3464,28.1612,11.4424,4.5000
0.8100,1.6000,10.5012,10.8434,1.9165,60.8036,2.5974,49.5170,27.5857,11.2865,4.5000
0.8100,1.6100,10.5105,10.8386,1.9061,60.8113,2.5920,49.6862,27.0048,11.1251,4.5000
0.8100,1.6200,10.5197,10.8339,1.8959,60.8119,2.5867,49.8540,26.4181,10.9579,4.5000
0.8100,1.6300,10.5288,10.8292,1.8857,60.8050,2.5815,50.0204,25.8251,10.7846,4.5000
0.8100,1.6400,10.5378,10.8245,1.8757,60.7904,2.5764,50.1854,25.2251,10.6050,4.5000
0.8100,1.6500,10.5467,10.8200,1.8658,60.7678,2.5714,50.3491,24.6176,10.4187,4.5000
0.8100,1.6600,10.5554,10.8155,1.8560,60.7368,2.5665,50.5113,24.0018,10.2254,4.5000
0.8100,1.6700,10.5641,10.8110,1.8463,60.6971,2.5616,50.6723,23.3772,10.0248,4.5000
0.8100,1.6800,10.5726,10.8067,1.8367,60.6482,2.5568,50.8320,22.7427,9.8163,4.5000
0.8100,1.6900,10.5811,10.8023,1.8272,60.5898,2.5521,50.9903,22.0974,9.5995,4.5000
0.8100,1.7000,10.5894,10.7981,1.8178,60.5211,2.5475,51.1473,21.4403,9.3738,4.5000
0.8100,1.7100,10.5976,10.7938,1.8085,60.4417,2.5430,51.3031,20.7701,9.1387,4.5000
0.8100,1.7200,10.6058,10.7897,1.7994,60.3508,2.5385,51.4576,20.0853,8.8932,4.5000
0.8100,1.7300,10.6139,10.7856,1.7903,60.2476,2.5340,51.6108,19.3844,8.6367,4.5000
0.8100,1.7400,10.6218,10.7815,1.7813,60.1310,2.5297,51.7628,18.6654,8.3682,4.5000
0.8100,1.7500,10.6297,10.7775,1.7724,59.9999,2.5254,51.9136,17.9260,8.0863,4.5000
0.8100,1.7600,10.6375,10.7735,1.7635,59.8529,2.5212,52.0632,17.1633,7.7898,4.5000
0.8100,1.7700,10.6452,10.7696,1.7548,59.6883,2.5170,52.2115,16.3741,7.4768,4.5000
0.8100,1.7800,10.6528,10.7658,1.7462,59.5040,2.5130,52.3587,15.5542,7.1453,4.5000
0.8100,1.7900,10.6603,10.7620,1.7376,59.2973,2.5089,52.5047,14.6983,6.7926,4.5000
0.8100,1.8000,10.6678,10.7582,1.7292,59.0647,2.5050,52.6495,13.7995,6.4152,4.5000
0.8100,1.8100,10.6751,10.7545,1.7208,58.8016,2.5011,52.7932,12.8486,6.0085,4.5000
0.8100,1.8200,10.6824,10.7508,1.7125,58.5017,2.4972,52.9357,11.8331,5.5660,4.5000
0.8100,1.8300,10.6896,10.7472,1.7043,58.1557,2.4934,53.0771,10.7343,5.0786,4.5000
0.8100,1.8400,10.6967,10.7436,1.6961,57.7491,2.4897,53.2174,9.5233,4.5317,4.5000
0.8100,1.8500,10.7038,10.7400,1.6881,57.2570,2.4860,53.3566,8.1500,3.9005,4.5000
0.8100,1.8600,10.7107,10.7365,1.6801,56.6291,2.4824,53.4946,6.5122,3.1344,4.5000
0.8100,1.8700,10.7176,10.7331,1.6722,55.7220,2.4788,53.6316,4.3185,2.0903,4.5000
0.8200,1.0000,9.6020,11.3414,2.8775,50.3964,3.2016,36.1416,59.7752,14.2548,4.5000
0.8200,1.0100,9.6257,11.3274,2.8525,50.7248,3.1839,36.4278,59.2085,14.2969,4.5000
0.8200,1.0200,9.6490,11.3137,2.8280,51.0479,3.1666,36.7115,58.6443,14.3364,4.5000
0.8200,1.0300,9.6718,11.3003,2.8039,51.3658,3.1497,36.9927,58.0825,14.3731,4.5000
0.8200,1.0400,9.6942,11.2872,2.7803,51.6784,3.1332,37.2714,57.5230,14.4070,4.5000
0.8200,1.0500,9.7162,11.2744,2.7571,51.9858,3.1170,37.5475,56.9658,14.4382,4.5000
0.8200,1.0600,9.7377,11.2618,2.7343,52.2879,3.1013,37.8212,56.4109,14.4667,4.5000
0.8200,1.0700,9.7589,11.2496,2.7120,52.5849,3.0859,38.0925,55.8581,14.4924,4.5000
0.8200,1.0800,9.7796,11.2376,2.6900,52.8767,3.0709,38.3614,55.3075,14.5154,4.5000
0.8200,1.0900,9.8000,11.2259,2.6684,53.1634,3.0562,38.6278,54.7589,14.5355,4.5000
0.8200,1.1000,9.8200,11.2144,2.6472,53.4449,3.0418,38.8919,54.2123,14.5530,4.5000
0.8200,1.1100,9.8396,11.2032,2.6264,53.7213,3.0277,39.1537,53.6677,14.5676,4.5000
0.8200,1.1200,9.8589,11.1922,2.6059,53.9925,3.0140,39.4131,53.1249,14.5795,4.5000
0.8200,1.1300,9.8779,11.1814,2.5857,54.2587,3.0006,39.6702,52.5839,14.5885,4.5000
0.8200,1.1400,9.8965,11.1708,2.5659,54.5198,2.9874,39.9249,52.0446,14.5948,4.5000
0.8200,1.1500,9.9148,11.1605,2.5464,54.7758,2.9746,40.1775,51.5071,14.5983,4.5000
0.8200,1.1600,9.9327,11.1504,2.5273,55.0267,2.9620,40.4278,50.9711,14.5990,4.5000
0.8200,1.1700,9.9504,11.1404,2.5084,55.2726,2.9497,40.6758,50.4367,14.5968,4.5000
0.8200,1.1800,9.9678,11.1307,2.4898,55.5135,2.9377,40.9217,49.9038,14.5918,4.5000
0.8200,1.1900,9.9849,11.1211,2.4716,55.7493,2.9259,41.1653,49.3722,14.5840,4.5000
0.8200,1.2000,10.0016,11.1118,2.4536,55.9802,2.9143,41.4068,48.8420,14.5733,4.5000
0.8200,1.2100,10.0182,11.1026,2.4359,56.2060,2.9030,41.6462,48.3131,14.5598,4.5000
0.8200,1.2200,10.0344,11.0936,2.4185,56.4268,2.8920,41.8834,47.7853,14.5434,4.5000
0.8200,1.2300,10.0504,11.0847,2.4014,56.6426,2.8811,42.1186,47.2587,14.5241,4.5000
0.8200,1.2400,10.0661,11.0760,2.3845,56.8535,2.8705,42.3516,46.7331,14.5018,4.5000
0.8200,1.2500,10.0816,11.0675,2.3678,57.0593,2.8601,42.5826,46.2085,14.4767,4.5000
0.8200,1.2600,10.0968,11.0591,2.3515,57.2602,2.8499,42.8115,45.6848,14.4486,4.5000
0.8200,1.2700,10.1118,11.0509,2.3353,57.4561,2.8400,43.0385,45.1619,14.4176,4.5000
0.8200,1.2800,10.1265,11.0428,2.3194,57.6470,2.8302,43.2634,44.6396,14.3836,4.5000
0.8200,1.2900,10.1411,11.0349,2.3037,57.8329,2.8206,43.4864,44.1181,14.3466,4.5000
0.8200,1.3000,10.1554,11.0271,2.2883,58.0139,2.8112,43.7073,43.5971,14.3065,4.5000
0.8200,1.3100,10.1694,11.0194,2.2731,58.1899,2.8020,43.9264,43.0765,14.2635,4.5000
0.8200,1.3200,10.1833,11.0119,2.2580,58.3608,2.7929,44.1435,42.5563,14.2173,4.5000
0.8200,1.3300,10.1970,11.0045,2.2433,58.5268,2.7840,44.3587,42.0364,14.1681,4.5000
0.8200,1.3400,10.2104,10.9972,2.2287,58.6878,2.7753,44.5721,41.5167,14.1157,4.5000
0.8200,1.3500,10.2237,10.9901,2.2143,58.8437,2.7668,44.7835,40.9971,14.0602,4.5000
0.8200,1.3600,10.2367,10.9830,2.2001,58.9946,2.7585,44.9932,40.4774,14.0015,4.5000
0.8200,1.3700,10.2496,10.9761,2.1861,59.1405,2.7502,45.2010,39.9577,13.9395,4.5000
0.8200,1.3800,10.2623,10.9693,2.1723,59.2813,2.7422,45.4069,39.4377,13.8743,4.5000
0.8200,1.3900,10.2748,10.9626,2.1586,59.4170,2.7343,45.6111,38.9173,13.8058,4.5000
0.8200,1.4000,10.2871,10.9560,2.1452,59.5476,2.7265,45.8136,38.3964,13.7340,4.5000
0.8200,1.4100,10.2993,10.9495,2.1319,59.6730,2.7189,46.0143,37.8750,13.6587,4.5000
0.8200,1.4200,10.3112,10.9432,2.1188,59.7932,2.7114,46.2132,37.3529,13.5801,4.5000
0.8200,1.4300,10.3231,10.9369,2.1059,59.9083,2.7041,46.4104,36.8299,13.4979,4.5000
0.8200,1.4400,10.3347,10.9307,2.0932,60.0181,2.6969,46.6059,36.3058,13.4121,4.5000
0.8200,1.4500,10.3462,10.9246,2.0806,60.1226,2.6898,46.7998,35.7807,13.3228,4.5000
0.8200,1.4600,10.3575,10.9186,2.0681,60.2218,2.6829,46.9920,35.2543,13.2298,4.5000
0.8200,1.4700,10.3687,10.9127,2.0559,60.3155,2.6760,47.1825,34.7264,13.1331,4.5000
0.8200,1.4800,10.3797,10.9069,2.0437,60.4039,2.6693,47.3714,34.1968,13.0325,4.5000
0.8200,1.4900,10.3906,10.9012,2.0318,60.4867,2.6627,47.5587,33.6655,12.9280,4.5000
0.8200,1.5000,10.4013,10.8955,2.0199,60.5640,2.6563,47.7444,33.1322,12.8196,4.5000
0.8200,1.5100,10.4119,10.8900,2.0083,60.6356,2.6499,47.9285,32.5967,12.7071,4.5000
0.8200,1.5200,10.4224,10.8845,1.9967,60.7014,2.6437,48.1110,32.0588,12.5904,4.5000
0.8200,1.5300,10.4327,10.8791,1.9853,60.7615,2.6375,48.2920,31.5182,12.4695,4.5000
0.8200,1.5400,10.4428,10.8738,1.9741,60.8156,2.6315,48.4715,30.9748,12.3441,4.5000
0.8200,1.5500,10.4529,10.8685,1.9629,60.8638,2.6256,48.6494,30.4283,12.2143,4.5000
0.8200,1.5600,10.4628,10.8634,1.9519,60.9057,2.6197,48.8259,29.8784,12.0798,4.5000
0.8200,1.5700,10.4726,10.8583,1.9411,60.9415,2.6140,49.0009,29.3247,11.9406,4.5000
0.8200,1.5800,10.4823,10.8533,1.9303,60.9708,2.6084,49.1744,28.7671,11.7964,4.5000
0.8200,1.5900,10.4918,10.8483,1.9197,60.9935,2.6028,49.3464,28.2052,11.6471,4.5000
0.8200,1.6000,10.5012,10.8434,1.9092,61.0096,2.5974,49.5170,27.6385,11.4925,4.5000
0.8200,1.6100,10.5105,10.8386,1.8988,61.0187,2.5920,49.6862,27.0668,11.3324,4.5000
0.8200,1.6200,10.5197,10.8339,1.8886,61.0207,2.5867,49.8540,26.4895,11.1667,4.5000
0.8200,1.6300,10.5288,10.8292,1.8784,61.0153,2.5815,50.0204,25.9062,10.9949,4.5000
0.8200,1.6400,10.5378,10.8245,1.8684,61.0023,2.5764,50.1854,25.3163,10.8169,4.5000
