# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# Out-of-Plane Angle (Phi) = 0 deg
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Eb,Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
11.00,0.9000,0.5000,6.2039,14.7536,5.2880,27.3262,5.2442,17.5337,87.8801,9.7925,4.5000
11.00,0.9000,0.6000,7.0033,13.8817,4.4739,33.2599,4.5248,21.7981,81.0456,11.4618,4.5000
11.00,0.9000,0.7000,7.5742,13.3458,3.8887,38.6095,4.0294,25.7154,74.6185,12.8941,4.5000
11.00,0.9000,0.8000,8.0025,12.9823,3.4466,43.3784,3.6722,29.3112,68.5627,14.0671,4.5000
11.00,0.9000,0.9000,8.3355,12.7192,3.1001,47.5751,3.4058,32.6062,62.8384,14.9689,4.5000
11.00,0.9000,1.0000,8.6020,12.5198,2.8206,51.2151,3.2016,35.6212,57.4023,15.5939,4.5000
11.00,0.9000,1.1000,8.8200,12.3635,2.5898,54.3169,3.0418,38.3777,52.2077,15.9392,4.5000
11.00,0.9000,1.2000,9.0016,12.2376,2.3957,56.8988,2.9143,40.8976,47.2038,16.0012,4.5000
11.00,0.9000,1.3000,9.1554,12.1341,2.2298,58.9747,2.8112,43.2022,42.3336,15.7724,4.5000
11.00,0.9000,1.4000,9.2871,12.0474,2.0861,60.5489,2.7265,45.3119,37.5299,15.2369,4.5000
11.00,0.9000,1.5000,9.4013,11.9737,1.9602,61.6096,2.6563,47.2456,32.7061,14.3639,4.5000
11.00,0.9000,1.6000,9.5012,11.9104,1.8489,62.1152,2.5974,49.0208,27.7367,13.0944,4.5000
11.00,0.9000,1.7000,9.5894,11.8553,1.7494,61.9618,2.5475,50.6533,22.4055,11.3084,4.5000
11.00,0.9000,1.8000,9.6678,11.8070,1.6600,60.8697,2.5050,52.1574,16.2228,8.7122,4.5000
