# histogram parameters 
# dx = 5.0
# dy = 0.04
# nx = 38
# ny = 40
# xmin = 0.0
# ymin = -0.02

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
pms,xsec_fsi,xsec_pwia,id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
0.20578,0.1812398E+01,0.2123029E+01,249,9,6,42.500,0.200,10546.712,8499.155,12.928,2047.556,2047.557,4544240.797,2955.796,2961.333,2808.761,205.500,205.782,961.837,2805.255,140.297,2.853,2.863,9.128,42.899,42.983,-0.952,0.034,0.863,2.819E+00
0.24510,0.6138410E+00,0.7176553E+00,289,9,7,42.500,0.240,10546.247,8471.307,13.194,2074.942,2074.941,4716978.403,3003.724,2979.543,2827.954,244.793,245.105,971.010,2823.096,165.681,3.348,3.359,10.923,42.436,42.529,-0.922,0.066,0.841,3.494E+00
0.27819,0.2908787E+00,0.3359117E+00,329,9,8,42.500,0.280,10545.711,8462.954,13.334,2082.753,2082.757,4811706.576,3024.828,2978.486,2826.840,277.876,278.188,979.884,2820.527,188.811,3.819,3.830,12.608,42.669,42.744,-0.895,0.027,0.825,3.767E+00
0.31731,0.1416033E+00,0.1594136E+00,369,9,9,42.500,0.320,10544.879,8460.553,13.456,2084.322,2084.326,4898023.088,3040.138,2968.238,2816.040,317.062,317.311,991.701,2807.740,216.050,4.391,4.400,14.667,42.851,42.912,-0.836,-0.049,0.808,1.960E+00
0.35433,0.8322785E-01,0.9153200E-01,409,9,10,42.500,0.360,10544.993,8469.869,13.507,2075.121,2075.125,4941000.698,3040.912,2946.579,2793.202,354.170,354.329,1004.158,2782.647,242.588,4.975,4.982,16.748,43.157,43.207,-0.777,-0.125,0.794,4.965E-01
0.38950,0.5376642E-01,0.5799747E-01,449,9,11,42.500,0.400,10546.782,8466.627,13.571,2080.153,2080.154,4985964.319,3051.722,2938.668,2784.854,389.355,389.496,1017.100,2771.667,270.696,5.573,5.578,18.847,43.992,44.026,-0.633,0.103,0.784,8.334E-02
0.16990,0.6002078E+01,0.7124740E+01,210,10,5,47.500,0.160,10548.398,8547.673,12.485,2000.724,2000.725,4264368.259,2875.286,2921.534,2766.768,169.829,169.897,954.803,2763.797,128.200,2.654,2.656,8.199,48.977,48.988,-0.967,0.129,0.898,1.456E+00
0.20458,0.1889561E+01,0.2278495E+01,250,10,6,47.500,0.200,10546.555,8500.190,12.816,2046.364,2046.365,4466942.359,2941.862,2960.396,2807.773,204.383,204.584,961.582,2803.715,150.898,3.073,3.081,9.711,47.447,47.526,-0.958,-0.096,0.876,3.854E+00
0.24028,0.7041787E+00,0.8558213E+00,290,10,7,47.500,0.240,10546.607,8477.304,13.014,2069.301,2069.303,4592690.743,2979.044,2975.112,2823.284,239.958,240.281,969.804,2817.666,178.022,3.605,3.615,11.551,47.722,47.808,-0.917,0.026,0.860,5.302E+00
0.27893,0.2845905E+00,0.3382613E+00,330,10,8,47.500,0.280,10545.377,8449.031,13.228,2096.345,2096.346,4728293.460,3020.424,2991.864,2840.932,278.563,278.929,980.095,2833.386,206.926,4.166,4.177,13.534,47.813,47.890,-0.907,0.042,0.844,5.341E+00
0.31780,0.1395081E+00,0.1580791E+00,370,10,9,47.500,0.320,10545.182,8435.134,13.384,2110.035,2110.048,4831769.709,3046.978,2993.804,2842.975,317.468,317.798,991.857,2833.232,235.177,4.735,4.745,15.558,47.671,47.733,-0.858,0.002,0.828,4.225E+00
0.35775,0.8030433E-01,0.8615665E-01,410,10,10,47.500,0.360,10544.144,8434.670,13.462,2109.469,2109.473,4886830.148,3055.603,2979.715,2828.135,357.532,357.753,1005.371,2815.658,265.356,5.375,5.384,17.788,47.825,47.879,-0.790,0.002,0.815,2.027E+00
0.39687,0.5205475E-01,0.5338470E-01,450,10,11,47.500,0.400,10545.133,8438.297,13.511,2106.838,2106.835,4924916.412,3060.012,2962.502,2809.994,396.684,396.869,1019.946,2794.472,294.947,6.017,6.025,20.017,47.959,48.003,-0.715,0.048,0.803,8.781E-01
0.43781,0.3569441E-01,0.3507485E-01,490,10,12,47.500,0.440,10542.988,8432.735,13.554,2110.253,2110.252,4952149.258,3066.808,2949.304,2796.076,437.680,437.806,1036.561,2776.776,327.957,6.731,6.736,22.428,48.488,48.512,-0.597,-0.199,0.795,2.343E-01
0.47188,0.2732324E-01,0.2591933E-01,530,10,13,47.500,0.480,10545.327,8427.670,13.582,2117.658,2117.658,4970738.453,3074.933,2941.865,2788.229,471.780,471.877,1051.405,2765.388,356.160,7.335,7.339,24.437,48.991,49.005,-0.508,0.175,0.790,4.887E-02
0.50753,0.2095122E-01,0.1935393E-01,570,10,14,47.500,0.520,10545.365,8416.548,13.630,2128.817,2128.818,4999378.334,3087.271,2936.550,2782.619,507.513,507.528,1067.881,2755.934,384.448,7.940,7.941,26.459,49.241,49.243,-0.552,-0.080,0.784,7.141E-03
0.17620,0.4721937E+01,0.5800199E+01,211,11,5,52.500,0.160,10548.981,8528.930,12.491,2020.052,2020.051,4259119.402,2887.858,2939.718,2785.963,176.182,176.202,955.945,2782.385,141.147,2.903,2.904,8.926,53.225,53.231,-0.992,0.050,0.905,8.638E-01
0.20529,0.1878920E+01,0.2355524E+01,251,11,6,52.500,0.200,10547.324,8505.952,12.685,2041.371,2041.372,4379607.937,2923.493,2955.253,2802.351,204.915,205.288,961.732,2797.653,162.196,3.308,3.318,10.335,52.129,52.194,-0.932,0.011,0.890,4.032E+00
0.24071,0.6945823E+00,0.8803081E+00,291,11,7,52.500,0.240,10547.024,8474.040,12.898,2072.982,2072.984,4510361.969,2967.764,2978.687,2827.052,240.325,240.707,969.909,2820.626,190.500,3.853,3.864,12.187,52.246,52.318,-0.918,0.007,0.876,6.264E+00
0.27923,0.2860736E+00,0.3518178E+00,331,11,8,52.500,0.280,10546.468,8443.529,13.086,2102.939,2102.939,4624694.225,3007.831,2998.372,2847.785,278.834,279.228,980.180,2839.082,222.468,4.471,4.480,14.276,52.757,52.819,-0.903,0.008,0.864,7.171E+00
